Number,Name,Year,Title,Journal,Volume,Issue,Pages,Notes
33,"Martin, A. & Thomas, S.C.",2013,Size-dependent changes in leaf & wood chemical traits in two Caribbean rainforest trees,Tree Physiology,33,12,1338-1353,
34,"Morhart, C.; Sheppard, J.; Schuler, J.; Spiecker, H.",2016,Above-ground woody biomass allocation & within tree carbon & nutrient distribution of wild cherry (Prunus avium L.) - a case study,Forest Ecosystems,3,4,NA,
35,"Jones, D.A. & O'Hara, K.L.",2016,The influence of preparation method on measured carbon fractions in tree tissues,Tree Physiology,36,9,1177-1189,
36,"Schwendenmann, L. & Mitchell, N.",2014,"Carbon accumulation by native trees & soils in an urban park, Auckland",New Zealand Journal of Ecology,38,2,213-220,
37,"Chao, K.; Chen, Y.; Song, M.; Chang, Y.; Sheue, C.; Phillips, O.; Hsieh, C.",2017,Carbon concentration declines with decay class in tropical forest woody debris,Forest Ecology and Management,391,1,75-85,
38,"Gao, B.; Taylor, A.; Chen, H.; Wang.; J",2016,Variation in total & volatile carbon concentration among the major tree species of the boreal forest,Forest Ecology and Management,375,1,191-199,
39,"Rodrigues, D.; Hamacher, C.; Estrada, G.; Soares, M",2015,"Variability of carbon content in mangrove species: Effect of species, compartments & tidal frequency",Aquatic Botany,120,1,346-351,
40,"Durkaya, B.; Durkaya, A.; Makineci, E.; Ulkudur, M",2013,"Estimation of above-ground biomass & sequestered carbon of Taurus Cedar (Cedrus libani L.) in Antalya, Turkey",iForest - Biogeosciences and Forestry,6,NA,278-284,
41,"Durkaya, B.; Durkaya, A.; Makineci, E.; Orhan, I",2015,Aboveground biomass & carbon storage relationship of Turkish Pines,Fresenius Environmental Bulletin,24,NA,3573-3583,
42,"Martin, A.; Thomas, S. & Zhao, Y",2013,Size-dependent changes in wood chemical traits: a comparison of neotropical saplings & large trees,AoB Plants,5,NA,NA,
43,"Perez, J.; Garza, E. & Yamallel, J",2013,Carbon concentration in pine-oak forest species of the Sierra Madre Oriental,Revista mexicana de ciencias forestales,4,17,50-61,
44,"Pompa-Garcia, M & Jurado, E",2015,Carbon concentration in structures of Arctostaphylos pungens HBK: An alternative CO2 sink in forests,International Journal of Experimental Botany,84,NA,385-389,
45,"Watzlawick, L.; Martins, P.; Rodrigues, A.; Ebling, A.; Balbinot, R.; Lustosa, S.",2014,Carbon concentration in species of the Araucaria Forest & effect of the ecological group,CERNE,20,4,613-620,
46,"Sanquetta, M.; Sanquetta, C.; Mognon, F; Corte, A.; Maas, G",2016,"Wood density & carbon content in young teak individuals from Para, Brazil",Cientifica,44,4,608-614,
47,"Borden, K.; Isaac, M.; Thevathasan, N.; Gordon, A.; Thomas, S",2014,Estimating coarse root biomass with ground radar in a tree-based intercropping system,Agroforestry Systems,88,4,657-669,
48,"Kim, C.; Yoo, B.; Jung, S.; Lee, K",2017,"Allometric equations to assess biomass, carbon & nitrogen content of black pine & red pine trees in southern Korea",iForest - Biogeosciences and Forestry,10,NA,483-490,
49,"Sohrabi, H.; Bakhtiari, S.; Ahmadi, K",2016,Above & below-ground biomass & carbon stocks of different tree plantations in central Iran,Journal of Arid Land,8,1,138-145,
50,"Cao, Y & Chen, Y",2017,"Ecosystem C:N:P stoichiometry & carbon storage in plantations & a secondary forest on the Loess Plateau, China",Ecological Engineering,105,NA,125-132,
51,"Hanpattanakit, P., Chidthaisong, A., Sanwangsri, M., & Lichaikul, N. .",2016,Improving Allometric Equations to Estimate biomass & carbon in secondary dry Dipterocarp forest,Singapore SG,18,3,208-211,
52,"Lutter, R., Tullus, A., Kanal, A., Tullus, T., & Tullus, H.",2016,The impact of former l&-use type to above- & below-ground C & N pools in short-rotation hybrid aspen (Populus tremula L. _ P. tremuloides Michx.) plantations in hemiboreal conditions,Forest Ecology and Management,378,NA,79-90,
53,"Wang, X. W., Weng, Y. H., Liu, G. F., Krasowski, M. J., & Yang, C. P.",2015,"Variations in carbon concentration, sequestration & partitioning among Betula platyphylla provenances",Forest Ecology and Management ,358,NA,344-352,
54,"Bulmer, R.; Schwendenmann, L.; Lunduist, C",2016,"Allometric Models for Estimating Aboveground Biomass, Carbon & Nitrogen Stocks in Temperate Avicennia marina Forests",Wetlands,36,NA,841-848,
55,"Cousins, S.; Battles, J.; S&ers, J.; York, R",2015,Decay patterns & carbon density of st&ing dead trees in California mixed conifer forests,Forest Ecology and Management,353,NA,136-147,
56,"Harmon, M.; Fasth, B.; Woodall, C.; Sexton, J. ",2013,"Carbon concentration of st&ing & downed woody detritus: Effects of tree taxa, decay class, position, & tissue type",Forest Ecology and Management,291,NA,259-267,
57,"Dossa, G. G., Paudel, E., Cao, K., Schaefer, D., & Harrison, R. D.",2016,Factors controlling bark decomposition & its role in wood decomposition in five tropical tree species,Scientific Reports,6,NA,NA,
58,"Koster, K.; Metslaid, M.; Engelhart, J.; Koster. E",2015,"Dead wood basic density, & the concentration of carbon & nitrogen for main tree species in managed hemiboreal forests",Forest Ecology and Management,354,NA,35-42,
59,"Bembenek, M.; Giefing, D.; Jelonek, T.; Karaszewski, Z.; Kruszyk, R.; Tomczak, A.; Woszczzyk, M.; Mederski, P",2015,Carbon content in juvenile & mature wood of Scots Pine (Pinus sylyestris L.),Baltic Forestry,21,2,279-284,
60,"Ray, R.; Kajumber, N.; Chowdhury, C.; Jana, T. ",2012,Wood chemistry & density: An analog for response to the change of carbon sequestration in mangroves,Carbohydrate Polymers,90,NA,102-108,
61,"Weggler, K.; Dobbertin, M.; Jugling, E.; Kaufmann E.; Thurig, E.",2012,Dead wood volume to dead wood carbon: the issue of conversion factors,European Journal of Forest Research,131,5,1423-1438,
62,"Tramoy, R.; Sebilo, M.; Nguyen, T.; Schnyder, J",2017,Carbon & nitrogen dynamics in decaying wood: paleoenvironmental implications,Environmental Chemistry,14,1,9-18,
63,"Maiti, R.; Rodriguez, H.; Kumari, A",2016,Wood Density of Ten Native Trees & Shrubs & Its Possible Relation with a Few Wood Chemical Compositions,American Journal of Plant Sciences,7,NA,1192-1197,
64,"Assefa, D.; Godbold, D.; Belay, B.; Abiyu, A.; Rewald, B",2017,"Fine Root Morphology, Biochemistry & Litter Quality Indices of Fast& Slow-growing Woody Species in Ethiopian Highl& Forest",Ecosystems,NA,NA,1-13 ,
65,"Guner, S. & Comez, A",2017,Biomass equations & changes in carbon stock in afforested black pine stands in Turkey,Fresenius Environmental Bulletin,26,NA,2368-2379,
